seed,n_qubits,depth_param,circuit_depth,n_cx,n_single_qubit_gates,total_gates,cx_density,noisy_expectation,zne_expectation,fold1,fold3,fold5,ideal_expectation
153,3,5,15,10,15,25,0.4,-0.7206666666666667,-0.7528888888888894,-0.7206666666666667,-0.6406666666666667,-0.5793333333333334,-0.7693090360788859
154,3,5,15,10,15,25,0.4,-0.062,-0.06550000000000002,-0.062,-0.05333333333333334,-0.04666666666666667,-0.04091979412770416
155,3,5,15,10,15,25,0.4,-0.20333333333333334,-0.22222222222222232,-0.20333333333333334,-0.14333333333333334,-0.11,-0.23732623363960176
156,3,6,18,12,18,30,0.4,-0.20066666666666666,-0.21333333333333343,-0.20066666666666666,-0.16866666666666666,-0.14466666666666667,-0.2105040448634202
157,3,6,18,12,18,30,0.4,-0.04133333333333333,-0.03805555555555556,-0.04133333333333333,-0.04733333333333333,-0.054,-0.07228064735597889
158,3,6,18,12,18,30,0.4,0.06333333333333334,0.0693888888888889,0.06333333333333334,0.050666666666666665,0.03866666666666667,0.06127211949200412
159,3,6,18,12,18,30,0.4,0.392,0.40544444444444455,0.392,0.35733333333333334,0.332,0.3965593224506605
160,3,6,18,12,18,30,0.4,-0.27666666666666667,-0.3039444444444445,-0.27666666666666667,-0.21266666666666667,-0.16,-0.2960792708490378
161,3,6,18,12,18,30,0.4,-0.23266666666666666,-0.23772222222222228,-0.23266666666666666,-0.222,-0.212,-0.26211870811656424
162,3,6,18,12,18,30,0.4,0.12533333333333332,0.13833333333333336,0.12533333333333332,0.09933333333333333,0.07333333333333333,0.19810678282769353
163,3,6,18,12,18,30,0.4,-0.4013333333333333,-0.4398333333333334,-0.4013333333333333,-0.3293333333333333,-0.25133333333333335,-0.468961038298412
164,3,6,18,12,18,30,0.4,-0.482,-0.5246666666666666,-0.482,-0.38,-0.298,-0.5524125750605491
165,3,6,18,12,18,30,0.4,0.10733333333333334,0.10155555555555557,0.10733333333333334,0.12333333333333334,0.134,0.08956011682999387
166,3,6,18,12,18,30,0.4,-0.13133333333333333,-0.15522222222222226,-0.13133333333333333,-0.08133333333333333,-0.034,-0.1946432081579332
167,3,6,18,12,18,30,0.4,0.3473333333333333,0.3710555555555555,0.3473333333333333,0.28933333333333333,0.244,0.3904193912574856
168,3,7,21,14,21,35,0.4,0.284,0.2891666666666666,0.284,0.272,0.262,0.3122183966093234
169,3,7,21,14,21,35,0.4,-0.08266666666666667,-0.09688888888888891,-0.08266666666666667,-0.04533333333333334,-0.018666666666666668,-0.13997409222057428
170,3,7,21,14,21,35,0.4,-0.15266666666666667,-0.16311111111111115,-0.15266666666666667,-0.13066666666666665,-0.11,-0.1423187576787957
171,3,7,21,14,21,35,0.4,0.6433333333333333,0.7084444444444447,0.6433333333333333,0.482,0.358,0.7507763896671449
